                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7196,                 3.9293,                 2.1039,                0.52372,                0.03808,                0.02733,                0.00915,                 2.7474,                 3.3851,                 2.1517,              0.0033324,              0.0033324,              0.0033324
                      2,                 2.5399,                 3.3648,                 1.9814,                0.54084,                0.04264,                0.03655,                0.01321,                 2.7173,                 3.2888,                 2.1246,              0.0065997,              0.0065997,              0.0065997
                      3,                 2.5389,                  3.177,                  1.982,                0.28758,                0.06573,                0.04174,                0.01505,                 2.7244,                 3.2393,                 2.0907,               0.009801,               0.009801,               0.009801
                      4,                 2.5083,                 3.0721,                 1.9712,                0.28218,                0.09252,                0.06417,                0.02491,                 2.6125,                 3.0659,                 2.0503,               0.009703,               0.009703,               0.009703
                      5,                 2.4438,                   2.93,                 1.9272,                0.27611,                 0.1317,                0.08586,                0.03591,                 2.5338,                  3.008,                 2.0066,               0.009604,               0.009604,               0.009604
                      6,                 2.3798,                 2.8199,                 1.8869,                0.31013,                0.16378,                0.11885,                0.04959,                 2.4688,                 2.8195,                 1.9547,               0.009505,               0.009505,               0.009505
                      7,                 2.3292,                 2.7005,                 1.8511,                0.38759,                0.21676,                0.18379,                0.08277,                 2.4002,                 2.7061,                 1.9169,               0.009406,               0.009406,               0.009406
                      8,                 2.2913,                 2.5987,                 1.8184,                0.43192,                 0.2422,                0.22058,                0.09988,                 2.3554,                 2.5528,                 1.8978,               0.009307,               0.009307,               0.009307
                      9,                 2.2481,                 2.4959,                 1.7861,                 0.5081,                 0.2849,                0.27668,                0.13241,                 2.3258,                 2.4621,                 1.8622,               0.009208,               0.009208,               0.009208
                     10,                 2.2125,                 2.4027,                 1.7609,                0.49214,                0.30755,                0.32539,                0.16856,                  2.256,                 2.3196,                 1.8177,               0.009109,               0.009109,               0.009109
