                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50684,                 1.9825,                0.85381,                0.33296,                0.98524,                0.36457,                0.35691,                0.20418,                 1.1683,                0.77661,              0.0033316,              0.0033316,              0.0033316
                      2,                 0.4291,                 1.2888,                0.84725,                0.33244,                0.98885,                0.37024,                0.36393,                0.22704,                 1.0743,                0.77579,              0.0065329,              0.0065329,              0.0065329
                      3,                0.43351,                 1.1462,                0.84829,                0.33392,                0.98845,                0.37192,                0.36722,                0.21256,                 1.0319,                0.77211,              0.0096023,              0.0096023,              0.0096023
                      4,                0.39604,                 1.0943,                0.84092,                0.33382,                0.98693,                0.38212,                0.37752,                0.18058,                 1.0354,                0.76759,               0.009406,               0.009406,               0.009406
                      5,                0.35399,                 1.0565,                0.83735,                0.33446,                0.98735,                0.36648,                 0.3626,                0.15607,                 1.0065,                0.76167,               0.009208,               0.009208,               0.009208
                      6,                0.32557,                 1.0432,                0.83097,                0.33551,                0.98886,                0.37736,                0.37464,                0.15013,                0.99196,                0.76258,                0.00901,                0.00901,                0.00901
                      7,                 0.3113,                 1.0317,                0.83163,                 0.3329,                0.98515,                0.39193,                0.38848,                 0.1324,                0.99455,                0.76029,               0.008812,               0.008812,               0.008812
                      8,                0.30119,                 1.0285,                0.83259,                 0.3342,                0.98916,                0.38178,                0.38003,                0.11564,                0.98364,                0.75748,               0.008614,               0.008614,               0.008614
                      9,                0.28716,                 1.0198,                0.82844,                0.33532,                0.99034,                0.39052,                 0.3874,                 0.1148,                0.98865,                0.75632,               0.008416,               0.008416,               0.008416
                     10,                0.27834,                 1.0114,                0.82514,                0.33436,                0.99197,                0.39801,                0.39632,                0.11036,                0.97362,                0.75573,               0.008218,               0.008218,               0.008218
                     11,                 0.2695,                 1.0057,                0.82311,                0.33549,                0.98858,                0.41614,                 0.4139,                0.10529,                0.96649,                0.75538,                0.00802,                0.00802,                0.00802
                     12,                0.26548,                 1.0004,                0.82233,                0.33343,                0.98964,                0.43172,                0.43051,                0.10148,                0.96539,                0.75187,               0.007822,               0.007822,               0.007822
                     13,                 0.2602,                0.99597,                0.82124,                0.33937,                0.95835,                0.46421,                0.46098,                0.10722,                0.96081,                0.75316,               0.007624,               0.007624,               0.007624
                     14,                0.25635,                0.99021,                0.81958,                0.33578,                0.98881,                0.44577,                 0.4441,                0.10249,                0.94814,                0.75561,               0.007426,               0.007426,               0.007426
                     15,                0.25664,                0.98025,                0.82133,                0.33553,                0.98825,                0.47879,                0.47579,                 0.0974,                0.93004,                0.75136,               0.007228,               0.007228,               0.007228
                     16,                0.24806,                0.97962,                0.81853,                0.34069,                0.98069,                0.48575,                0.48436,                0.09654,                0.92279,                 0.7526,                0.00703,                0.00703,                0.00703
                     17,                0.24519,                0.97592,                0.81998,                0.33797,                0.98915,                0.49349,                0.48921,                0.08986,                0.92044,                 0.7515,               0.006832,               0.006832,               0.006832
                     18,                0.24258,                0.96826,                0.81707,                0.33893,                 0.9834,                0.49045,                 0.4891,                0.08766,                 0.9197,                 0.7511,               0.006634,               0.006634,               0.006634
                     19,                 0.2407,                0.96386,                0.81826,                0.34097,                0.98341,                0.50088,                0.49945,                0.08951,                0.90336,                0.74971,               0.006436,               0.006436,               0.006436
